"Name","Count","ContUpdate","MaxDeltaMin","Verdict"
"221717, 189309_focusCurve.txt","2","0","-612088","Write-once"
"221717, 227109_focusCurve.txt","2","0","-612088","Write-once"
"228017,  31809_focusCurve.txt","3","0","-662191","Write-once"
"228017,  63309_focusCurve.txt","2","0","-612087","Write-once"
"228017, 164109_focusCurve.txt","2","0","-612088","Write-once"
"228017, 201909_focusCurve.txt","3","0","-662191","Write-once"
"228017, 246009_focusCurve.txt","3","0","-662191","Write-once"
"228017, 277509_focusCurve.txt","2","0","-612087","Write-once"
"234317, 120009_focusCurve.txt","3","0","-662191","Write-once"
"234317, 271209_focusCurve.txt","3","0","-662191","Write-once"
"240617,  50709_focusCurve.txt","2","0","-612087","Write-once"
"240617, 113709_focusCurve.txt","2","0","-612088","Write-once"
"240617, 145209_focusCurve.txt","3","0","-662191","Write-once"
"240617, 176709_focusCurve.txt","3","0","-662191","Write-once"
"240617, 201909_focusCurve.txt","2","0","-612088","Write-once"
"240617, 239709_focusCurve.txt","2","0","-612087","Write-once"
"246917,  82209_focusCurve.txt","3","0","-662191","Write-once"
"246917,  88509_focusCurve.txt","2","0","-612087","Write-once"
"253217,  50709_focusCurve.txt","3","0","-662191","Write-once"
"253217, 145209_focusCurve.txt","2","0","-612088","Write-once"
"253217, 176709_focusCurve.txt","2","0","-612088","Write-once"
"253217, 220809_focusCurve.txt","3","0","-662191","Write-once"
"253217, 258609_focusCurve.txt","5","0","-612087","Write-once"
"259517, 107409_focusCurve.txt","3","0","-662191","Write-once"
"259517, 208209_focusCurve.txt","2","0","-612087","Write-once"
"26417, 101109_focusCurve.txt","3","0","-662191","Write-once"
"26417, 120009_focusCurve.txt","2","0","-612087","Write-once"
"26417, 176709_focusCurve.txt","2","0","-612087","Write-once"
"26417, 214509_focusCurve.txt","3","0","-662191","Write-once"
"265817,  63309_focusCurve.txt","3","0","-662191","Write-once"
"265817,  69609_focusCurve.txt","2","0","-612087","Write-once"
"265817, 113709_focusCurve.txt","2","0","-612087","Write-once"
"265817, 195609_focusCurve.txt","3","0","-662191","Write-once"
"265817, 239709_focusCurve.txt","3","0","-662191","Write-once"
"272117, 132609_focusCurve.txt","3","0","-662191","Write-once"
"272117, 145209_focusCurve.txt","2","0","-612087","Write-once"
"272117, 164109_focusCurve.txt","3","0","-662191","Write-once"
"272117, 176709_focusCurve.txt","2","0","-612087","Write-once"
"272117, 233409_focusCurve.txt","2","0","-612087","Write-once"
"278417,  88509_focusCurve.txt","3","0","-662191","Write-once"
"278417,  94809_focusCurve.txt","2","0","-612087","Write-once"
"278417, 220809_focusCurve.txt","3","0","-662191","Write-once"
"284717, 208209_focusCurve.txt","2","0","-612087","Write-once"
"291017, 107409_focusCurve.txt","3","0","-662191","Write-once"
"291017, 120009_focusCurve.txt","2","0","-612087","Write-once"
"291017, 183009_focusCurve.txt","2","0","-612087","Write-once"
"291017, 201909_focusCurve.txt","3","0","-662191","Write-once"
"297317, 132609_focusCurve.txt","3","0","-662191","Write-once"
"297317, 151509_focusCurve.txt","5","0","-612087","Write-once"
"297317, 176709_focusCurve.txt","3","0","-662191","Write-once"
"32717, 208209_focusCurve.txt","2","0","-612087","Write-once"
"39017,  75909_focusCurve.txt","3","0","-662191","Write-once"
"39017,  94809_focusCurve.txt","2","0","-612087","Write-once"
"39017, 145209_focusCurve.txt","3","0","-662191","Write-once"
"39017, 176709_focusCurve.txt","3","0","-662191","Write-once"
"39017, 233409_focusCurve.txt","3","0","-662191","Write-once"
"45317, 113709_focusCurve.txt","3","0","-662191","Write-once"
"45317, 138909_focusCurve.txt","2","0","-612087","Write-once"
"45317, 170409_focusCurve.txt","2","0","-612087","Write-once"
"45317, 233409_focusCurve.txt","2","0","-612087","Write-once"
"51617,  57009_focusCurve.txt","3","0","-662191","Write-once"
"51617, 201909_focusCurve.txt","5","0","-612087","Write-once"
"51617, 252309_focusCurve.txt","3","0","-662191","Write-once"
"57917,  69609_focusCurve.txt","2","0","-612087","Write-once"
"57917,  88509_focusCurve.txt","3","0","-662191","Write-once"
"57917, 107409_focusCurve.txt","2","0","-612087","Write-once"
"64217,  44409_focusCurve.txt","3","0","-662191","Write-once"
"64217, 157809_focusCurve.txt","2","0","-612088","Write-once"
"64217, 227109_focusCurve.txt","3","0","-662191","Write-once"
"64217, 252309_focusCurve.txt","2","0","-612087","Write-once"
"64217, 264909_focusCurve.txt","3","0","-662191","Write-once"
