"FullPath","Ext","SizeBytes","LastModified","Created","First120","DeltaMin"
"C:\job\ValidationJob\300mm\Recipes\AllMags\SamplingMetrology.ini",".ini","73","2025-03-18 09:34","2026-04-30 22:08","[General] Version=0 Id=2d57a9fe-1869-4080-7ac6-1745aaf9b433 UseCSV=0 ","-588275"
"C:\job\ValidationJob\300mm\Recipes\AllMags\ScanOverlapLog.txt",".txt","450","2026-05-12 11:24","2026-04-30 22:08","Scan 2d Overlap [px], [um]; Pixel size = 3.407, 3.41 Minimum             :    32,   32,  109,  109 Detection           :","16635"
"C:\job\ValidationJob\300mm\Recipes\AllMags\ScanOverviewImage_Recipes-AllMags.txt",".txt","321","2025-03-18 09:44","2026-04-30 22:08","[ScanOverviewImage] I_2_WM_X=         82.0483398438         0.0000000000     -4079.6000000000 I_2_WM_Y=          0.00000","-588264"
"C:\job\ValidationJob\300mm\Recipes\AllMags\ScenarioMetadataGrab.xml",".xml","5679","2025-03-18 10:08","2026-04-30 22:08","<MultiOpticsScenarioGrabConfiguration VersionNumber=""2.0"">   <ScenarioGrab Id=""8762b93a-7d27-4b01-ae57-287737fa71df"" Nam","-588240"
"C:\job\ValidationJob\300mm\Recipes\AllMags\ScenariosMetadatas.ini",".ini","1543","2026-05-05 16:38","2026-04-30 22:08","[General] Version=1 [Scan2d] Id=dc872976-066f-4ff0-86f3-6f07a2b3c149 OpticsId=3845442d-c4ed-4440-8868-5aca09c1e36b Refer","6869"
"C:\job\ValidationJob\300mm\Recipes\AllMags\UniqueArea.ini",".ini","375","2025-03-18 09:41","2026-04-30 22:08","[General] Count=0 UseGMF=0 TryAllModels=0 MinTargetScore=0 ImagePreprocessorId=306a7e84-3bae-4443-bedf-ea9321f61841 [306","-588267"
"C:\job\ValidationJob\300mm\Recipes\AllMags\Wafer2Table.ini",".ini","1123","2026-05-12 11:24","2026-04-30 22:08","[WAFER ALIGNMENT] Wafer2Table_X=          0.9999825828         0.0022057883   -170199.2698604851 Wafer2Table_Y=         ","16635"
"C:\job\ValidationJob\300mm\Recipes\AllMags\WaferDataReadSettings.xml",".xml","195","2025-03-18 09:34","2026-04-30 22:08","<?xml version=""1.0""?> <WaferDataReadSettings xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xsd=""http://www","-588275"
"C:\job\ValidationJob\300mm\Recipes\AllMags\Waferinfo.ini",".ini","406","2026-05-12 11:24","2026-04-30 22:08","[Robot] Rotation=0 SideUp=1 [General] hd_robot=False InkBinList= LimitNumberOfInkedDice=0 hd_cmm=False key_minarea=2500 ","16635"
"C:\job\ValidationJob\300mm\Recipes\AllMags\WaferMapRecipe.ini",".ini","882","2025-11-13 13:42","2026-04-30 22:08","[GENERAL] SettingsPolicy=0 FiducialBin=-1 MappingCorner=3 [Input_Update] Enable=0 FileMask= ImportDirectory= UpdateDirec","-242426"
"C:\job\ValidationJob\300mm\Recipes\AllMags\zones.ini",".ini","459","2025-03-18 09:57","2026-04-30 22:08","[General] Version=11 [ALGName] 255=PostProcess 0=Scan Area 1=Solder 2=Pad 3=Prob 4=RDL [ALG] 255=PostProcess 0=Surface 1","-588251"
"C:\job\ValidationJob\300mm\Recipes\AllMags\zones.txt",".txt","410","2025-03-18 09:57","2026-04-30 22:08","ScaleX =    1.0000000000; ScaleY =    1.0000000000   RefID       X        Y  Zone Count      Shape Data       1   1124.5","-588251"
"C:\job\ValidationJob\300mm\Recipes\AllMags\ZoomLevels.ini",".ini","210","2025-03-18 09:38","2026-04-30 22:08","[ZOOM_LEVELS] LEVEL_1=1 SaveCompressed=0 LEVEL_2=1 LEVEL_4=1 [LEVEL_1] SizeX=2249 SizeY=2775 [LEVEL_2] SizeX=1124 SizeY=","-588270"
"C:\job\ValidationJob\300mm\Recipes\AllMags\.dc_cache\TransactionsHistory.ini",".ini","366","2025-03-18 10:04","2026-04-30 22:08","[DeprecatedInV0] Namespace.RuntimeEntities.RecipePartsCollection_Runtime|RecipePartsCollection|CleanReferenceParams=1 Na","-588244"
"C:\job\ValidationJob\300mm\Recipes\AllMags\AMITA1\OpticsPreset.ini",".ini","58","2026-04-30 22:37","2026-04-30 22:12","[General] DiffLight2.5=3.00000000000001 RefLight2.5=70 ","25"
